ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
Diisobutyl phthalate,,unsafe,,Diisobutyl phthalate,,Reprotoxic Cat. 1B()
"Perfluorooctane sulfonic acid; heptadecafluorooctane-1-sulfonic acid [1];
Potassium perfluorooctanesulfonate; potassium heptadecafluorooctane-1-sulfonate [2];
Diethanolamine perfluorooctane sulfonate [3];
Ammonium perfluorooctane sulfonate; ammonium heptadecafluorooctanesulfonate [4];
Lithium perfluorooctane sulfonate; lithium heptadecafluorooctanesulfonate  [5]",,unsafe,,"Perfluorooctane sulfonic acid; heptadecafluorooctane-1-sulfonic acid [1];
Potassium perfluorooctanesulfonate; potassium heptadecafluorooctane-1-sulfonate [2];
Diethanolamine perfluorooctane sulfonate [3];
Ammonium perfluorooctane sulfonate; ammonium heptadecafluorooctanesulfonate [4];
Lithium perfluorooctane sulfonate; lithium heptadecafluorooctanesulfonate  [5]",,"Reprotoxic Cat. 1B(),Carcinogenic Cat. 2()"
"Ethyl 1-(2,4-dichlorophenyl)5-(trichloromethyl)-1H-1,2,4-triazole-3-carboxylate",,unsafe,,"Ethyl 1-(2,4-dichlorophenyl)5-(trichloromethyl)-1H-1,2,4-triazole-3-carboxylate",,Carcinogenic Cat. 1B()
1-Bromo-2-methylpropyl propionate,,unsafe,,1-Bromo-2-methylpropyl propionate,,Carcinogenic Cat. 2()
Chloro-1-ethylcyclohexyl carbonate,,unsafe,,Chloro-1-ethylcyclohexyl carbonate,,Mutagenic Cat. 2()
"6,6'-Bis(diazo-5,5',6,6'-tetrahydro-5,5'-dioxo)[methylene-bis(5-(6-diazo-5,6-dihydro-5-oxo-1-naphthylsulphonyloxy)-6-methyl-2-phenylene]di(naphthalene-1-sulfonate)",,unsafe,,"6,6'-Bis(diazo-5,5',6,6'-tetrahydro-5,5'-dioxo)[methylene-bis(5-(6-diazo-5,6-dihydro-5-oxo-1-naphthylsulphonyloxy)-6-methyl-2-phenylene]di(naphthalene-1-sulfonate)",,Carcinogenic Cat. 2()
"Trifluralin (ISO); a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine; 2,6-dinitro-N,N-dipropyl-4-trifluoromethylaniline; N,N-dipropyl-2,6-dinitro-4-trifluoromethylaniline",,unsafe,,"Trifluralin (ISO); a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine; 2,6-dinitro-N,N-dipropyl-4-trifluoromethylaniline; N,N-dipropyl-2,6-dinitro-4-trifluoromethylaniline",,Carcinogenic Cat. 2()
4-Mesyl-2-nitrotoluene,,unsafe,,4-Mesyl-2-nitrotoluene,,Reprotoxic Cat. 2()
"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate",,unsafe,,"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate",,Reprotoxic Cat. 2()
"Reaction mass of: triammonium 6-amino-3-((2,5-diethoxy-4-(3-phosphonophenyl)azo)phenyl)azo-4-hydroxy-2-naphthalenesulfonate; diammonium 3-((4-((7-amino-1-hydroxy-3-sulfo-naphthalen-2-yl)azo)-2,5-diethoxyphenyl)azo)benzoate",,unsafe,,"Reaction mass of: triammonium 6-amino-3-((2,5-diethoxy-4-(3-phosphonophenyl)azo)phenyl)azo-4-hydroxy-2-naphthalenesulfonate; diammonium 3-((4-((7-amino-1-hydroxy-3-sulfo-naphthalen-2-yl)azo)-2,5-diethoxyphenyl)azo)benzoate",,Reprotoxic Cat. 2()
"N,N'-Diacetylbenzidine",,unsafe,,"N,N'-Diacetylbenzidine",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
Cyclohexylamine,,unsafe,,Cyclohexylamine,CYCLOHEXYLAMINE,Reprotoxic Cat. 2()
Piperazine,,unsafe,,Piperazine,,Reprotoxic Cat. 2()
Hydroxylamine,,unsafe,,Hydroxylamine,,Carcinogenic Cat. 2()
"Hydroxylammonium chloride; hydroxylamine hydrochloride [1];
Bis(hydroxylammonium) sulfate; hydroxylamine sulfate (2:1) [2]",,unsafe,,"Hydroxylammonium chloride; hydroxylamine hydrochloride [1];
Bis(hydroxylammonium) sulfate; hydroxylamine sulfate (2:1)  [2]",,Carcinogenic Cat. 2()
"Diaminotoluene, methyl-phenylenediamine, technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine]",,unsafe,,"Diaminotoluene, methyl-phenylenediamine, technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine]",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2(),Reprotoxic Cat. 2()"
Mepanipyrim; 4-methyl-N-phenyl-6-(1-propynyl)-2-pyrimidinamine,,unsafe,,Mepanipyrim; 4-methyl-N-phenyl-6-(1-propynyl)-2-pyrimidinamine,,Carcinogenic Cat. 2()
"Hydroxylammonium hydrogensulfate; hydroxylamine sulfate(1:1) [1];
Hydroxylamine phosphate [2];
Hydroxylamine dihydrogenphosphate [3];
Hydroxylamine 4-methylbenzenesulfonate [4]",,unsafe,,"Hydroxylammonium hydrogensulfate; hydroxylamine sulfate(1:1) [1];
Hydroxylamine phosphate [2];
Hydroxylamine dihydrogenphosphate [3];
Hydroxylamine 4-methylbenzenesulfonate [4]",,Carcinogenic Cat. 2()
(3-Chloro-2-hydroxypropyl) trimethylammonium chloride,,unsafe,,(3-Chloro-2-hydroxypropyl) trimethylammonium chloride,,Carcinogenic Cat. 2()
"Biphenyl-3,3',4,4'-tetrayltetraamine; diaminobenzidine",,unsafe,,"Biphenyl-3,3',4,4'-tetrayltetraamine; diaminobenzidine",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
"Piperazine hydrochloride [1];
Piperazine dihydrochloride [2];
Piperazine phosphate [3]",,unsafe,,"Piperazine hydrochloride [1];
Piperazine dihydrochloride [2];
Piperazine phosphate [3]",,Reprotoxic Cat. 2()
3-(Piperazin-1-yl)-benzo[d]isothiazole hydrochloride,,unsafe,,3-(Piperazin-1-yl)-benzo[d]isothiazole hydrochloride,,Reprotoxic Cat. 2()
2-Ethylphenylhydrazine hydrochloride,,unsafe,,2-Ethylphenylhydrazine hydrochloride,,Carcinogenic Cat. 2()
(2-Chloroethyl)(3-hydroxypropyl)ammonium chloride,,unsafe,,(2-Chloroethyl)(3-hydroxypropyl)ammonium chloride,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
"4-[(3-Chlorophenyl)(1H-imidazol-1-yl)methyl]-1,2-benzenediamine dihydrochloride",,unsafe,,"4-[(3-Chlorophenyl)(1H-imidazol-1-yl)methyl]-1,2-benzenediamine dihydrochloride",,Reprotoxic Cat. 2()
"Chloro-N,N-dimethylformiminium chloride",,unsafe,,"Chloro-N,N-dimethylformiminium chloride",,Reprotoxic Cat. 1B()
7-Methoxy-6-(3-morpholin-4-yl-propoxy)-3H-quinazolin-4-one,,unsafe,,7-Methoxy-6-(3-morpholin-4-yl-propoxy)-3H-quinazolin-4-one,,Reprotoxic Cat. 1B()
Reaction products of diisopropanolamine with formaldehyde (1:4),,unsafe,,Reaction products of diisopropanolamine with formaldehyde (1:4),,Carcinogenic Cat. 2()
3-Chloro-4-(3-fluorobenzyloxy)aniline,,unsafe,,3-Chloro-4-(3-fluorobenzyloxy)aniline,,Mutagenic Cat. 2()
"Ethidium bromide; 3,8-diamino-1-ethyl-6-phenylphenantridinium bromide",,unsafe,,"Ethidium bromide; 3,8-diamino-1-ethyl-6-phenylphenantridinium bromide",,Mutagenic Cat. 2()
"(R,S)-2-Amino-3,3-dimethylbutane amide",,unsafe,,"(R,S)-2-Amino-3,3-dimethylbutane amide",,Reprotoxic Cat. 2()
3-Amino-9-ethyl carbazole; 9-ethylcarbazol-3-ylamine,,unsafe,,3-Amino-9-ethyl carbazole; 9-ethylcarbazol-3-ylamine,,Carcinogenic Cat. 1B()
(6R-trans)-1-((7-Ammonio-2-carboxylato-8-oxo-5-thia-1-azabicyclo-[4.2.0]oct-2-en-3-yl)methyl)pyridinium iodide,,unsafe,,(6R-trans)-1-((7-Ammonio-2-carboxylato-8-oxo-5-thia-1-azabicyclo-[4.2.0]oct-2-en-3-yl)methyl)pyridinium iodide,,Mutagenic Cat. 2()
Forchlorfenuron (ISO); 1-(2-chloro-4-pyridyl)-3-phenylurea,,unsafe,,Forchlorfenuron (ISO); 1-(2-chloro-4-pyridyl)-3-phenylurea,,Carcinogenic Cat. 2()
"Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one; dimethyl propyleneurea",,unsafe,,"Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one; dimethyl propyleneurea",,Reprotoxic Cat. 2()
Quinoline,,unsafe,,Quinoline,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
"Ketoconazole; 1-[4-[4-[[(2SR,4RS)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",,unsafe,,"Ketoconazole; 1-[4-[4-[[(2SR,4RS)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",KETOCONAZOLE,Reprotoxic Cat. 1B()
"Metconazole (ISO); (1RS,5RS;1RS,5SR)-5-(4-chlorobenzyl)-2,2-dimethyl-1-(1H-1,2,4-triazol-1-ylmethyl)cyclopentanol",,unsafe,,"Metconazole (ISO); (1RS,5RS;1RS,5SR)-5-(4-chlorobenzyl)-2,2-dimethyl-1-(1H-1,2,4-triazol-1-ylmethyl)cyclopentanol",,Reprotoxic Cat. 2()
Potassium 1-methyl-3-morpholinocarbonyl-4-[3-(1-methyl-3-morpholinocarbonyl-5-oxo-2-pyrazolin-4-ylidene)-1-propenyl]pyrazole-5-olate,,unsafe,,Potassium 1-methyl-3-morpholinocarbonyl-4-[3-(1-methyl-3-morpholinocarbonyl-5-oxo-2-pyrazolin-4-ylidene)-1-propenyl]pyrazole-5-olate,,Reprotoxic Cat. 1B()
"N,N',N''-Tris(2-methyl-2,3-epoxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine",,unsafe,,"N,N',N''-Tris(2-methyl-2,3-epoxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine",,Mutagenic Cat. 2()
Trimethylopropane tri(3-aziridinylpropanoate); (TAZ),,unsafe,,Trimethylopropane tri(3-aziridinylpropanoate); (TAZ),,Mutagenic Cat. 2()
"4,4'-Methylenediphenyl diisocyanate; diphenylmethane-4,4'-diisocyanate [1];
2,2'-Methylenediphenyl diisocyanate; diphenylmethane-2,2'-diisocyanate [2];
o-(p-Isocyanatobenzyl)phenyl isocyanate; diphenylmethane-2,4'-diisocyanate [3];
Methylenediphenyl diisocyanate [4]",,unsafe,,"4,4'-Methylenediphenyl diisocyanate; diphenylmethane-4,4'-diisocyanate [1];
2,2'-Methylenediphenyl diisocyanate; diphenylmethane-2,2'-diisocyanate [2];
o-(p-Isocyanatobenzyl)phenyl isocyanate; diphenylmethane-2,4'-diisocyanate [3];
Methylenediphenyl diisocyanate [4]",METHYLENE DIPHENYL DIISOCYANATE,Carcinogenic Cat. 2()
"Cinidon ethyl (ISO); ethyl (Z)-2-chloro-3-[2-chloro-5-(cyclohex-1-ene-1,2-dicarboximido)phenyl]acrylate",,unsafe,,"Cinidon ethyl (ISO); ethyl (Z)-2-chloro-3-[2-chloro-5-(cyclohex-1-ene-1,2-dicarboximido)phenyl]acrylate",,Carcinogenic Cat. 2()
"N-[6,9-Dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6-oxo-1H-purin-2-yl]acetamide",,unsafe,,"N-[6,9-Dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6-oxo-1H-purin-2-yl]acetamide",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B(),Reprotoxic Cat. 1B()"
"Dimoxystrobin (ISO); (E)-2-(methoxyimino)-N-methyl-2-[a-(2,5-xylyloxy)-o-tolyl]acetamide",,unsafe,,"Dimoxystrobin (ISO); (E)-2-(methoxyimino)-N-methyl-2-[a-(2,5-xylyloxy)-o-tolyl]acetamide",,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
"N,N-(Dimethylamino)thioacetamide hydrochloride",,unsafe,,"N,N-(Dimethylamino)thioacetamide hydrochloride",,Reprotoxic Cat. 1B()
"Reaction mass of: 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)]-3-oxo-butanamide; 2-[[3,3'-dichloro-4'-[[1[[(2,4-dimethylphenyl)amino]carbonyl]-2-oxopropyl]azo][1,1'-biphenyl]-4-yl]azo]-N-(2-methylphenyl)-3-oxo-butanamide; 2-[[3,3'-dichloro-4'-[[1[[(2,4-dimethylphenyl)amino]carbonyl]-2-oxopropyl]azo][1,1'- biphenyl]-4-yl]azo]-N-(2-carboxylphenyl)-3- oxo-butanamide",,unsafe,,"Reaction mass of: 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)]-3-oxo-butanamide; 2-[[3,3'-dichloro-4'-[[1[[(2,4-dimethylphenyl)amino]carbonyl]-2-oxopropyl]azo][1,1'-biphenyl]-4-yl]azo]-N-(2-methylphenyl)-3-oxo-butanamide; 2-[[3,3'-dichloro-4'-[[1[[(2,4-dimethylphenyl)amino]carbonyl]-2-oxopropyl]azo][1,1'- biphenyl]-4-yl]azo]-N-(2-carboxylphenyl)-3- oxo-butanamide",,Carcinogenic Cat. 2()
"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w benzene",,unsafe,,"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w benzene",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,005 % w/w benzo[a]pyrene",,unsafe,,"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,005 % w/w benzo[a]pyrene",,Carcinogenic Cat. 1B()
"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w benzene or if they contain = 0,005 % w/w benzo[a]pyrene",,unsafe,,"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w benzene or if they contain = 0,005 % w/w benzo[a]pyrene",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w 1,3-butadiene",,unsafe,,"Petroleum, coal, tar and natural gas and their derivatives generated using distillation and/or other processing methods if they contain = 0,1 % w/w 1,3-butadiene",,"Carcinogenic Cat. 1A(),Mutagenic Cat. 1B()"
Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,,unsafe,,Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,,Carcinogenic Cat. 2()
Indium phosphide,,unsafe,,Indium phosphide,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 2()"
Trixylyl phosphate,,unsafe,,Trixylyl phosphate,,Reprotoxic Cat. 1B()
"Hexabromocyclododecane [1];
1,2,5,6,9,10-Hexabromocyclododecane [2]",,unsafe,,"Hexabromocyclododecane [1];
1,2,5,6,9,10-Hexabromocyclododecane [2]",,Reprotoxic Cat. 2()
Tetrahydrofuran,,unsafe,,Tetrahydrofuran,,Carcinogenic Cat. 2()
Abamectin (combination of avermectin B1a and avermectin B1b) (ISO) [1]; Avermectin B1a [2],,unsafe,,Abamectin (combination of avermectin B1a and avermectin B1b) (ISO) [1]; Avermectin B1a [2],,Reprotoxic Cat. 2()
4-tert-Butylbenzoic acid,,unsafe,,4-tert-Butylbenzoic acid,4-T-BUTYLBENZOIC ACID,Reprotoxic Cat. 1B()
"Leucomalachite green; N,N,N',N'-tetramethyl-4,4'-benzylidenedianiline",,unsafe,,"Leucomalachite green; N,N,N',N'-tetramethyl-4,4'-benzylidenedianiline",,"Carcinogenic Cat. 2(),Mutagenic Cat. 2()"
Fuberidazole (ISO); 2-(2-furyl)-1H-benzimidazole,,unsafe,,Fuberidazole (ISO); 2-(2-furyl)-1H-benzimidazole,,Carcinogenic Cat. 2()
"Metazachlor (ISO); 2-chloro-N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)acetamide",,unsafe,,"Metazachlor (ISO); 2-chloro-N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)acetamide",,Carcinogenic Cat. 2()
Di-tert-butyl peroxide,,unsafe,,Di-tert-butyl peroxide,,Mutagenic Cat. 2()
Trichloromethylstannane,,unsafe,,Trichloromethylstannane,,Reprotoxic Cat. 2()
"2-Ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,unsafe,,"2-Ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,Reprotoxic Cat. 2()
"2-Ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,unsafe,,"2-Ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,Reprotoxic Cat. 1B()
"Sulcotrione (ISO); 2-[2-chloro-4-(methylsulfonyl)benzoyl]cyclohexane-1,3-dione",,unsafe,,"Sulcotrione (ISO); 2-[2-chloro-4-(methylsulfonyl)benzoyl]cyclohexane-1,3-dione",,Reprotoxic Cat. 2()
"Bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropanecarboxylate",,unsafe,,"Bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropanecarboxylate",,Carcinogenic Cat. 2()
Dihexyl phthalate,,unsafe,,Dihexyl phthalate,,Reprotoxic Cat. 1B()
Ammonium pentadecafluorooctanoate,,unsafe,,Ammonium pentadecafluorooctanoate,,"Reprotoxic Cat. 1B(),Carcinogenic Cat. 2()"
Perfluorooctanoic acid,,unsafe,,Perfluorooctanoic acid,,"Reprotoxic Cat. 1B(),Carcinogenic Cat. 2()"
N-Ethyl-2-pyrrolidone; 1-ethylpyrrolidin-2-one,,unsafe,,N-Ethyl-2-pyrrolidone; 1-ethylpyrrolidin-2-one,ETHYL PYRROLIDONE,Reprotoxic Cat. 1B()
Proquinazid (ISO); 6-iodo-2-propoxy-3-propylquinazolin-4(3H)-one,,unsafe,,Proquinazid (ISO); 6-iodo-2-propoxy-3-propylquinazolin-4(3H)-one,,Carcinogenic Cat. 2()
Gallium arsenide,,unsafe,,Gallium arsenide,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B()"
Vinyl acetate,,unsafe,,Vinyl acetate,VINYL ACETATE,Carcinogenic Cat. 2()
Aclonifen (ISO); 2-chloro-6-nitro-3-phenoxyaniline,,unsafe,,Aclonifen (ISO); 2-chloro-6-nitro-3-phenoxyaniline,,Carcinogenic Cat. 2()
"2-Ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,unsafe,,"2-Ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",,Reprotoxic Cat. 2()
Dimethyltin dichloride,,unsafe,,Dimethyltin dichloride,,Reprotoxic Cat. 2()
4-Vinylcyclohexene,,unsafe,,4-Vinylcyclohexene,,Carcinogenic Cat. 2()
Tralkoxydim (ISO); 2-(N-ethoxypropanimidoyl)-3-hydroxy-5-mesitylcyclohex-2-en-1-one,,unsafe,,Tralkoxydim (ISO); 2-(N-ethoxypropanimidoyl)-3-hydroxy-5-mesitylcyclohex-2-en-1-one,,Carcinogenic Cat. 2()
Cycloxydim (ISO); 2-(N-ethoxybutanimidoyl)-3-hydroxy-5-(tetrahydro-2H-thiopyran-3-yl)cyclohex-2-en-1-one,,unsafe,,Cycloxydim (ISO); 2-(N-ethoxybutanimidoyl)-3-hydroxy-5-(tetrahydro-2H-thiopyran-3-yl)cyclohex-2-en-1-one,,Reprotoxic Cat. 2()
"Fluazinam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl]-5-(trifluoromethyl)pyridin-2-amine",,unsafe,,"Fluazinam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl]-5-(trifluoromethyl)pyridin-2-amine",,Reprotoxic Cat. 2()
"Penconazole (ISO); 1-[2-(2,4-dichlorophenyl)pentyl]-1H-1,2,4-triazole",,unsafe,,"Penconazole (ISO); 1-[2-(2,4-dichlorophenyl)pentyl]-1H-1,2,4-triazole",,Reprotoxic Cat. 2()
Fenoxycarb (ISO); ethyl [2-(4-phenoxyphenoxy)ethyl]carbamate,,unsafe,,Fenoxycarb (ISO); ethyl [2-(4-phenoxyphenoxy)ethyl]carbamate,,Carcinogenic Cat. 2()
Styrene,,unsafe,,Styrene,STYRENE,Reprotoxic Cat. 2()
Tetrahydro-2-furylmethanol; tetrahydrofurfuryl alcohol,,unsafe,,Tetrahydro-2-furylmethanol; tetrahydrofurfuryl alcohol,TETRAHYDROFURFURYL ALCOHOL,Reprotoxic Cat. 1B()
Formaldehyde,,unsafe,,Formaldehyde,FORMALDEHYDE,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
Paraformaldehyde,,unsafe,,Paraformaldehyde,,Carcinogenic Cat. 2()
Methanediol; methylene glycol,,unsafe,,Methanediol; methylene glycol,METHYLENE GLYCOL,
Cymoxanil (ISO); 2-cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,,unsafe,,Cymoxanil (ISO); 2-cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,,Reprotoxic Cat. 2()
Tributyltin compounds,,unsafe,,Tributyltin compounds,,Reprotoxic Cat. 1B()
"Tembotrione (ISO); 2-{2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl}cyclohexane-1,3-dione",,unsafe,,"Tembotrione (ISO); 2-{2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl}cyclohexane-1,3-dione",,Reprotoxic Cat. 2()
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",,unsafe,,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",,Reprotoxic Cat. 1B()
"Spirotetramat (ISO); (5s,8s)-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4,5]dec-3-en-4-yl ethyl carbonate",,unsafe,,"Spirotetramat (ISO); (5s,8s)-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4,5]dec-3-en-4-yl ethyl carbonate",,Reprotoxic Cat. 2()
"Dodemorph acetate; 4-cyclododecyl-2,6-dimethylmorpholin-4-ium acetate",,unsafe,,"Dodemorph acetate; 4-cyclododecyl-2,6-dimethylmorpholin-4-ium acetate",,Reprotoxic Cat. 2()
"Triflusulfuron-methyl; methyl 2-({[4-(dimethylamino)-6-(2,2,2- trifluoroethoxy)-1,3,5-triazin-2- yl]carbamoyl}sulfamoyl)-3- methylbenzoate",,unsafe,,"Triflusulfuron-methyl; methyl 2-({[4-(dimethylamino)-6-(2,2,2- trifluoroethoxy)-1,3,5-triazin-2- yl]carbamoyl}sulfamoyl)-3- methylbenzoate",,Carcinogenic Cat. 2()
"Imazalil (ISO); 1-[2-(allyloxy)-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole",,unsafe,,"Imazalil (ISO); 1-[2-(allyloxy)-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole",,Carcinogenic Cat. 2()
"Dodemorph (ISO); 4-cyclododecyl-2,6-dimethylmorpholine",,unsafe,,"Dodemorph (ISO); 4-cyclododecyl-2,6-dimethylmorpholine",,Reprotoxic Cat. 2()
Imidazole,,unsafe,,Imidazole,IMIDAZOLE,Reprotoxic Cat. 1B()
"Lenacil (ISO); 3-cyclohexyl-6,7-dihydro-1H-cyclopenta[d]pyrimidine-2,4(3H,5H)-dione",,unsafe,,"Lenacil (ISO); 3-cyclohexyl-6,7-dihydro-1H-cyclopenta[d]pyrimidine-2,4(3H,5H)-dione",,Carcinogenic Cat. 2()
"Metosulam (ISO); N-(2,6-dichloro-3-methylphenyl)-5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",,unsafe,,"Metosulam (ISO); N-(2,6-dichloro-3-methylphenyl)-5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",,Carcinogenic Cat. 2()
2-Methyl-1-(4-methylthiophenyl)-2-morpholino-propan 1-one,,unsafe,,2-Methyl-1-(4-methylthiophenyl)-2-morpholino-propan 1-one,METHYLTHIOPHENYL MORPHOLINO ISOBUTANONE,Reprotoxic Cat. 1B()
"2,3-Epoxypropyl methacrylate; glycidyl methacrylate",,unsafe,,"2,3-Epoxypropyl methacrylate; glycidyl methacrylate",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Spiroxamine (ISO); 8-tert-butyl-1,4-dioxaspirol[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",,unsafe,,"Spiroxamine (ISO); 8-tert-butyl-1,4-dioxaspirol[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",,Reprotoxic Cat. 2()
Cyanamide; carbanonitril,,unsafe,,Cyanamide; carbanonitril,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
"Cyproconazole (ISO); (2RS,3RS;2RS,3SR)-2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",,unsafe,,"Cyproconazole (ISO); (2RS,3RS;2RS,3SR)-2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",,Reprotoxic Cat. 1B()
Silver zinc zeolite,,unsafe,,Silver zinc zeolite,AMMONIUM SILVER ZINC ALUMINUM SILICATE,Reprotoxic Cat. 2()
Cadmium carbonate,,unsafe,,Cadmium carbonate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
Cadmium hydroxide; cadmium dihydroxide,,unsafe,,Cadmium hydroxide; cadmium dihydroxide,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
Cadmium nitrate; cadmium dinitrate,,unsafe,,Cadmium nitrate; cadmium dinitrate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
Dibutyltin dilaurate; dibutyl[bis(dodecanoyloxy)] stannane,,unsafe,,Dibutyltin dilaurate; dibutyl[bis(dodecanoyloxy)] stannane,,"Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Clorofene; chlorophene; 2-benzyl-4-chlorophenol,,unsafe,,Clorofene; chlorophene; 2-benzyl-4-chlorophenol,CHLOROPHENE,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
